3.35247	3.17772	3.02663
1.81334	1.80782	1.7339
0.0165286	0.138203	0.170218
1.05504	0.885774	1.02323
0.524652	0.456379	0.419557
0.877258	0.823359	0.796145
-1.8128	-1.91088	-1.97286
-0.149005	-0.13099	-0.102458
-0.956711	-1.09611	-0.830689
-0.701663	-0.702403	-0.62391
0.356305	0.333777	0.300633
-1.31454	-1.22913	-1.12015
0.0072343	0.0546226	0.0287761
-0.739153	-0.623997	-0.708686
-0.878369	-0.859746	-0.833127
-0.293831	-0.375965	-0.154168
0.0101216	-0.00396543	0.0720991
-0.665993	-0.745595	-0.760691
0.184052	0.13377	0.0996026
-0.860168	-0.861178	-0.842998
1.06199	1.04812	1.02903
0.0474724	0.0229861	0.0139905
0.138837	0.193547	0.0420763
-0.495399	-0.474557	-0.432151
-1.77688	-2.06197	-1.78763
